iter	RMSE
0	1.563199094
1	1.550296904
2	1.537823455
3	1.525491922
4	1.513154532
5	1.500872876
6	1.489266352
7	1.477704787
8	1.466092605
9	1.45452637
10	1.443226416
11	1.431960294
12	1.420617046
13	1.409414332
14	1.398922914
15	1.388028953
16	1.37770032
17	1.367112563
18	1.356559508
19	1.346321201
20	1.336034616
21	1.325850152
22	1.315807192
23	1.305833755
24	1.29600019
25	1.286648933
26	1.277515012
27	1.268037486
28	1.258581504
29	1.249339052
30	1.240716228
31	1.232172582
32	1.223304703
33	1.214527426
34	1.205837092
35	1.19722661
36	1.188825453
37	1.180459153
38	1.172561055
39	1.164303702
40	1.15640238
41	1.148246308
42	1.140183829
43	1.132407932
44	1.124685537
45	1.117172706
46	1.109843016
47	1.102476267
48	1.095118116
49	1.087856033
50	1.081103885
51	1.07444689
52	1.067428068
53	1.060785224
54	1.054016811
55	1.047299112
56	1.040655972
57	1.034387703
58	1.028190945
59	1.021818283
60	1.015771985
61	1.009805977
62	1.003547851
63	0.9975040374
64	0.9915155669
65	0.9856537858
66	0.9798775964
67	0.9740905623
68	0.9684098428
69	0.9627871814
70	0.9572521083
71	0.9518851894
72	0.9465215496
73	0.941179756
74	0.9359907689
75	0.9308209592
76	0.9256523617
77	0.9206800902
78	0.9157818552
79	0.9108005123
80	0.9060183673
81	0.9015846292
82	0.8968472
83	0.892132622
84	0.887475689
85	0.8830485804
86	0.8786079151
87	0.8742832124
88	0.8699937136
89	0.8656543348
90	0.861491863
91	0.857094967
92	0.8528889819
93	0.8487588425
94	0.8446851141
95	0.8406695588
96	0.8368589138
97	0.8330681494
98	0.8291603363
99	0.8255206562
100	0.8217836339
101	0.8182053476
102	0.8145281809
103	0.8109419272
104	0.8075136288
105	0.8040696054
106	0.8007643157
107	0.7974464021
108	0.7942148827
109	0.7909793802
110	0.787799575
111	0.7847978722
112	0.7814618665
113	0.7785177846
114	0.7756800277
115	0.7727565324
116	0.7698808256
117	0.7668939207
118	0.7641661212
119	0.7613709118
120	0.7586140759
121	0.7558032667
122	0.7528227904
123	0.7501904752
124	0.7476265284
125	0.745154151
126	0.7427666164
127	0.7405433706
128	0.7380055075
129	0.7348905631
130	0.7324614433
131	0.7301346763
132	0.7279353137
133	0.7259082885
134	0.7235805365
135	0.7213783214
136	0.7191774608
137	0.7171349985
138	0.7150242909
139	0.7127429133
140	0.7106944945
141	0.7086433673
142	0.7065383251
143	0.7045638266
144	0.7025670127
145	0.700643866
146	0.6987520711
147	0.6964688428
148	0.694742901
149	0.6931877117
150	0.6914173114
151	0.6896053566
152	0.687861402
153	0.6861935878
154	0.6845760092
155	0.6829132412
156	0.6813470803
157	0.6797112206
158	0.6781928156
159	0.6766687847
160	0.6752014252
161	0.6731571936
162	0.6716782572
163	0.6703851875
164	0.6689246138
165	0.6675439898
166	0.6659139615
167	0.6645993997
168	0.6633362061
169	0.6619655849
170	0.659995075
171	0.6585395913
172	0.6572526274
173	0.6560134641
174	0.6548274116
175	0.6536158843
176	0.6522374588
177	0.6509894588
178	0.6493209228
179	0.6481511072
180	0.6470923627
181	0.6460390337
182	0.6451495634
183	0.6440486655
184	0.6429212737
185	0.6413362208
186	0.6403062492
187	0.6389002708
188	0.6375334003
189	0.6363949074
190	0.6354832417
191	0.6344862577
192	0.6337398335
193	0.6328975452
194	0.631845802
195	0.6310382688
196	0.6295737813
197	0.6286711452
198	0.6275855847
199	0.6259984138
200	0.6244457045
201	0.6232444205
202	0.6224635779
203	0.6215997996
204	0.6208274387
205	0.619993793
206	0.6193012458
207	0.6185138247
208	0.6177149569
209	0.6169296028
210	0.6161712285
211	0.6153961293
212	0.6145810217
213	0.6138972569
214	0.6132046851
215	0.6125167172
216	0.6118722785
217	0.6111790047
218	0.6100526103
219	0.6093774367
220	0.6087282651
221	0.6073806062
222	0.6067745168
223	0.6061788988
224	0.6055457243
225	0.6050277894
226	0.6044639407
227	0.6039099469
228	0.6033793153
229	0.6027190848
230	0.6021073167
231	0.6010911502
232	0.5997526011
233	0.5990415283
234	0.5985892717
235	0.5981228264
236	0.5976176727
237	0.5971696698
238	0.5966441044
239	0.5960025721
240	0.5954320611
241	0.594931306
242	0.5945461877
243	0.5941043385
244	0.5929192702
245	0.5918403324
246	0.5913651324
247	0.5909371815
248	0.5904872953
249	0.5900329557
250	0.5896614539
251	0.5892080456
252	0.5886884321
253	0.5883901945
254	0.587943691
255	0.5875636519
256	0.5871091293
257	0.5867226727
258	0.5862464201
259	0.5858907083
260	0.5855415991
261	0.5851969334
262	0.5841637214
263	0.5834990807
264	0.582992151
265	0.5826148004
266	0.5823016658
267	0.581977307
268	0.5816408824
269	0.5809247086
270	0.5806547046
271	0.5802795016
272	0.5799189635
273	0.5795914494
274	0.5792841424
275	0.5789564117
276	0.5783888542
277	0.5780888419
278	0.5775728219
279	0.5772590672
280	0.5765446329
281	0.5761028092
282	0.5757900587
283	0.5754847927
284	0.5748305237
285	0.5742658409
286	0.5740307302
287	0.5738146722
288	0.5735557324
289	0.573300503
290	0.573022847
291	0.5727197069
292	0.572474451
293	0.5722209882
294	0.5716767868
295	0.5714265504
296	0.5711657769
297	0.5709094791
298	0.5704844316
299	0.5702655835
300	0.5700426862
301	0.5698751739
302	0.5691195549
303	0.5688006733
304	0.5685027402
305	0.5681169272
306	0.5677387562
307	0.5674432312
308	0.566652955
309	0.5664329469
310	0.5661932141
311	0.5658507874
312	0.5655076573
313	0.5648286584
314	0.5638428332
315	0.5628626386
316	0.5627043941
317	0.5619787374
318	0.5617779559
319	0.5613637751
320	0.5611954654
321	0.560982581
322	0.5608667838
323	0.5606845542
324	0.5605011173
325	0.5603128209
326	0.5596390755
327	0.5591674014
328	0.5582469149
329	0.5579795975
330	0.5577671125
331	0.5575716199
332	0.5573820675
333	0.5569773846
334	0.5568128453
335	0.5565970694
336	0.5560034541
337	0.5558729079
338	0.5556282031
339	0.5552380498
340	0.5551395101
341	0.5543122287
342	0.5541429384
343	0.5534885694
344	0.552939806
345	0.5520491322
346	0.5518693122
347	0.5515999211
348	0.5513917996
349	0.5512835048
350	0.5510770901
351	0.5505264324
352	0.5500981418
353	0.5499520343
354	0.5496207414
355	0.549465229
356	0.5493911499
357	0.5485342061
358	0.5483597924
359	0.5482422921
360	0.548079706
361	0.547275969
362	0.5471586279
363	0.5468276641
364	0.5467413387
365	0.5460822697
366	0.5459851295
367	0.5458157351
368	0.5457452116
369	0.5455852077
370	0.5450958948
371	0.5447244269
372	0.5444216214
373	0.54427884
374	0.5440996965
375	0.5439521294
376	0.543813017
377	0.5437263646
378	0.5435817009
379	0.5433930371
380	0.5432603716
