iter	Passed	Remaining
0	8	69775
1	17	70534
2	26	71173
3	37	75179
4	47	75282
5	56	75187
6	66	75784
7	73	73621
8	83	74516
9	92	74036
10	101	73709
11	111	74403
12	120	74206
13	131	75096
14	141	75575
15	152	75911
16	158	74660
17	167	74205
18	177	74529
19	186	74351
20	195	74266
21	204	74100
22	213	73993
23	222	73920
24	231	73804
25	241	74048
26	249	73623
27	260	74091
28	269	74073
29	278	74053
30	284	73053
31	289	72073
32	298	72179
33	308	72204
34	317	72357
35	326	72333
36	335	72213
37	344	72112
38	353	72101
39	362	72106
40	371	72158
41	380	72136
42	389	72085
43	400	72362
44	409	72430
45	420	72648
46	430	72774
47	439	72754
48	448	72740
49	457	72732
50	467	72845
51	472	72248
52	483	72507
53	492	72478
54	501	72470
55	510	72406
56	520	72488
57	530	72649
58	539	72610
59	548	72577
60	558	72711
61	569	72884
62	578	72819
63	587	72875
64	597	72931
65	607	73018
66	617	73092
67	627	73194
68	635	73099
69	644	73037
70	655	73150
71	665	73264
72	675	73363
73	684	73347
74	694	73361
75	703	73370
76	714	73469
77	723	73437
78	730	73289
79	740	73267
80	748	73214
81	756	73035
82	766	73084
83	777	73228
84	785	73182
85	794	73158
86	805	73270
87	815	73334
88	826	73469
89	836	73546
90	845	73472
91	856	73579
92	864	73532
93	873	73487
94	882	73441
95	892	73496
96	901	73458
97	913	73656
98	923	73719
99	932	73698
100	941	73657
101	952	73744
102	961	73693
103	970	73703
104	980	73711
105	989	73687
106	998	73644
107	1007	73647
108	1018	73728
109	1029	73852
110	1039	73893
111	1050	73977
112	1059	73962
113	1069	74009
114	1080	74062
115	1090	74103
116	1100	74171
117	1111	74224
118	1118	74041
119	1127	74030
120	1136	74014
121	1146	74010
122	1155	74015
123	1164	73990
124	1174	73967
125	1183	73945
126	1194	74029
127	1203	73989
128	1212	73983
129	1222	73988
130	1231	73996
131	1242	74065
132	1252	74088
133	1257	73835
134	1267	73826
135	1278	73940
136	1288	73934
137	1298	73996
138	1309	74058
139	1318	74044
140	1328	74066
141	1339	74102
142	1349	74134
143	1359	74193
144	1368	74160
145	1380	74268
146	1390	74301
147	1400	74320
148	1409	74290
149	1415	74088
150	1426	74141
151	1435	74112
152	1445	74116
153	1455	74144
154	1466	74198
155	1477	74285
156	1487	74304
157	1497	74309
158	1507	74352
159	1517	74348
160	1528	74424
161	1539	74483
162	1550	74524
163	1557	74434
164	1567	74410
165	1576	74394
166	1586	74422
167	1597	74461
168	1608	74529
169	1618	74528
170	1629	74588
171	1638	74584
172	1649	74616
173	1659	74654
174	1669	74667
175	1680	74701
176	1690	74703
177	1700	74725
178	1710	74757
179	1721	74801
180	1732	74822
181	1741	74802
182	1746	74609
183	1755	74564
184	1765	74579
185	1776	74631
186	1785	74593
187	1795	74615
188	1805	74597
189	1814	74574
190	1824	74586
191	1834	74594
192	1839	74408
193	1847	74344
194	1856	74309
195	1863	74182
196	1873	74205
197	1882	74176
198	1892	74196
199	1903	74234
200	1914	74268
201	1924	74295
202	1933	74258
203	1943	74286
204	1953	74268
205	1962	74263
206	1973	74310
207	1982	74278
208	1992	74276
209	2002	74283
210	2011	74264
211	2022	74294
212	2031	74274
213	2042	74319
214	2051	74289
215	2060	74271
216	2070	74251
217	2079	74241
218	2089	74233
219	2100	74267
220	2109	74254
221	2118	74231
222	2130	74299
223	2139	74257
224	2149	74278
225	2160	74315
226	2170	74308
227	2179	74304
228	2190	74336
229	2199	74317
230	2209	74323
231	2220	74339
232	2229	74328
233	2240	74346
234	2250	74346
235	2258	74303
236	2268	74305
237	2278	74309
238	2289	74331
239	2298	74306
240	2307	74289
241	2318	74335
242	2328	74319
243	2338	74330
244	2347	74314
245	2357	74297
246	2367	74315
247	2378	74339
248	2388	74345
249	2397	74314
250	2406	74281
251	2415	74257
252	2425	74279
253	2432	74184
254	2441	74169
255	2451	74160
256	2461	74167
257	2472	74192
258	2481	74179
259	2490	74152
260	2500	74150
261	2509	74119
262	2518	74097
263	2528	74081
264	2538	74084
265	2546	74052
266	2557	74071
267	2567	74066
268	2576	74039
269	2585	74019
270	2594	73996
271	2605	74018
272	2614	74000
273	2625	74019
274	2635	74020
275	2645	74036
276	2654	74022
277	2665	74051
278	2675	74028
279	2685	74034
280	2695	74048
281	2704	74029
282	2714	74031
283	2724	74033
284	2734	74011
285	2743	73998
286	2753	73997
287	2762	73961
288	2771	73940
289	2780	73917
290	2790	73924
291	2799	73902
292	2810	73924
293	2820	73929
294	2829	73912
295	2840	73917
296	2850	73938
297	2859	73915
298	2868	73892
299	2880	73935
